More...,Movement,,Ammo,,,,Damage,,Range,,Range of x hits to kill,,,,Range,,Range of x hits to kill,,,,Multipliers,,,,Fire Rate,,,,Reload,,,,,,,,,Switch,,,,,,Idle,,,,ADS,,,Hipspread,,,,,,Viewkick,,,,Centerspeed
FAL,0.95,0.4,160,80,20,,50,40,1500,2000,1500,∞,,,500,1000,500,∞,,,1.4,1,1,1,0.096,625,,,,,2.5,3.1,2,,1.6,2.2,0.9,0.6,0.85,0.25,0.7,0.8,0.3,2,0.8,1,0.4,0,0.25,50,5,9,4.5,8,4,7,-20,70,70,-50,1400
AK-47,0.95,0.4,240,120,30,,40,30,1500,2000,,1800,∞,,500,1000,,800,∞,,1.4,1,1,1,0.08,750,,,,,2.5,3.25,1.75,,1.75,2.35,0.95,0.6,0.95,0.25,0.75,1.4,0.3,2,0.8,1,0.4,0,0.25,50,3,7,2.5,6,2,5,-30,60,60,-60,1500
Commando,0.95,0.4,240,120,30,,40,30,1500,2000,,1800,∞,,500,1000,,800,∞,,1.4,1,1,1,0.08,750,,,,,2.05,2.55,1.55,,1.7,2.1,0.9,0.6,0.85,0.25,0.55,1,0.3,2,1.5,1,0.4,0,0.25,50,3,7,2.5,6,2,5,-30,60,60,-60,1500
G11,0.95,0.4,384,192,48,,35,25,1500,2000,,1550,∞,,,,,,,,1.4,1,1,1,0.048,523,,,,,2.7,3.85,2,,,,,0.55,0.7,0.25,0.5,1.75,0.3,2,1.5,1,0.4,0,0.25,50,2,5,1.75,4,1.25,3,-15,45,7.5,-45,1700
,Submachine Guns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SMGs have low penetration, except the Kiparis without Dual Wield, which has medium penetration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP5K,1,0.8,240,120,30,,40,20,750,1000,,825,937,∞,350,700,,455,612,∞,1.4,1,1,1,0.08,750,0.06,1000,,,2.9,3.2,2,,,,,0.7,0.75,0.25,0.65,1.25,0.3,2,0.9,0.75,0.4,0,0.2,50,2,5,1.75,4.5,1.5,4,-30,70,70,-80,1700
Skorpion,1,0.8,160,80,20,,50,20,200,400,200,306,366,∞,100,300,100,206,266,∞,1.4,1,1,1,0.08,750,0.06,1000,,,2.35,3.2,1.8,,,,,0.42,0.65,0.25,0.55,1.3,0.35,2,0.9,0.75,0.4,0,0.2,55,2,5,1.75,4.5,1.5,4,-20,30,50,-50,1700
Skorpion DW,1,,320,160,20,,40,20,500,750,,575,687,∞,,,,,,,1.4,1,1,1,0.08,750,,,,,2.6,2.8,1.8,,,,,0.42,0.6,0.2,0.55,1,0.3,,,,,,,,9,12,8.75,11.5,8.5,11,-20,30,50,-50,1700
MAC-11,1,0.8,160,80,20,,30,20,750,1000,,,875,∞,350,700,,,525,∞,1.4,1,1,1,0.064,937,0.048,1250,,,2,2.67,1.7,,,,,0.42,0.65,0.25,0.55,0.65,0.3,2,0.9,0.75,0.4,0,0.2,55,2,5,1.75,4.5,1.5,4,-20,60,10,-60,1700
MAC-11 DW,1,,320,160,20,,30,20,750,1000,,,875,∞,,,,,,,1.4,1,1,1,0.064,937,,,,,2.43,2.67,1.4,,,,,0.42,0.65,0.25,0.45,0.65,0.3,,,,,,,,9,12,8.75,11.5,8.5,11,-20,60,10,-60,1700
AKS-74U,1,0.8,240,120,30,,35,20,750,1000,,766,916,∞,350,700,,373,583,∞,1.4,1,1,1,0.08,750,0.06,1000,,,2.1,2.8,1.5,,1.6,2.2,0.9,0.65,0.85,0.25,0.5,1.4,0.3,2,0.9,0.75,0.4,0,0.2,50,2,5,1.75,4.5,1.5,4,-20,65,65,-65,1600
Uzi,1,0.8,256,128,32,,30,20,750,1000,,,875,∞,350,700,,,525,∞,1.4,1,1,1,0.064,937,0.048,1250,,,2.4,3.25,1.8,,,,,0.42,0.7,0.25,0.45,1.35,0.3,2,0.9,0.75,0.4,0,0.2,50,2,5,1.75,4.5,1.5,4,-50,80,75,-75,1600
PM-63,1,0.8,160,80,20,,30,20,750,1000,,,875,∞,,,,,,,1.4,1,1,1,0.064,937,0.048,1250,,,2.05,2.85,1.4,,,,,0.6,0.7,0.25,0.6,1.4,0.3,2,0.9,0.75,0.4,0,0.2,55,2,5,1.75,4.5,1.5,4,-20,60,10,-60,1500
PM-63 DW,1,,320,160,20,,30,20,750,1000,,,875,∞,,,,,,,1.4,1,1,1,0.064,937,,,,,2,2.5,1.35,,,,,0.45,0.7,0.2,0.55,0.7,0.3,,,,,,,,9,12,8.75,11.5,8.5,11,-20,60,10,-60,1500
MPL,1,0.8,256,128,32,,30,20,750,1000,,,875,∞,350,700,,,525,∞,1.4,1,1,1,0.064,937,0.048,1250,,,2.25,3,1.75,,1.4,2.1,0.9,0.5,0.65,0.25,0.35,1.4,0.3,2,0.9,0.75,0.4,0,0.25,50,2,5,1.75,4.5,1.5,4,-30,60,60,-70,1700
Spectre,1,0.8,240,120,30,,30,20,750,1000,,,875,∞,350,700,,,525,∞,1.4,1,1,1,0.064,937,0.048,1250,,,2.3,3,1.75,,,,,0.55,0.65,0.25,0.45,1.35,0.3,2,0.9,0.75,0.4,0,0.2,50,2,5,1.75,4.5,1.5,4,-20,60,10,-60,1700
Kiparis,1,0.8,160,80,20,,30,20,750,1000,,,875,∞,350,700,,,525,∞,1.4,1,1,1,0.064,937,0.048,1250,,,2.1,2.65,1.3,,,,,0.45,0.65,0.25,0.45,0.65,0.3,2,0.9,0.75,0.4,0,0.25,50,2,5,1.75,4.5,1.5,4,-20,60,10,-60,1400
Kiparis DW,1,,320,160,20,,30,20,750,1000,,,875,∞,,,,,,,1.4,1,1,1,0.064,937,,,,,2.1,2.65,1.3,,,,,0.55,0.65,0.25,0.45,1.2,0.3,,,,,,,,9,12,8.75,11.5,8.5,11,-20,60,10,-60,1400
,Light Machine Guns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"LMGs have high penetration, except the Stoner 63, which has medium penetration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK21,0.875,0.4,240,120,30,,40,40,1500,2000,,∞,,,,,,,,,1.4,1,1,1,0.08,750,,,,,3.75,4.75,2.9,,,,,0.6,0.95,0.35,0.75,1.75,0.45,2,0.8,0.75,0.4,0,0.35,50,2.5,7,2,5,1.5,5,-40,60,70,-70,1700
RPK,0.875,0.4,320,160,40,,40,40,1500,2000,,∞,,,,,,,,,1.4,1,1,1,0.08,750,,,,,4,5.5,3.25,,2.5,3.5,1.65,0.7,0.95,0.35,0.65,1.9,0.45,2,0.8,0.75,0.4,0,0.35,50,2.5,7,2,5,1.5,5,15,60,70,-70,1500
M60,0.875,0.4,300,200,100,,50,40,1000,1500,1000,∞,,,,,,,,,1.4,1,1,1,0.112,535,,,,,9.7,9.7,7.5,,,,,0.6,0.95,0.35,0.75,1.4,0.45,2,0.8,0.75,0.4,0,0.35,50,4,10,3.5,8,3,6,10,60,80,-80,1500
Stoner 63,0.875,0.4,240,120,30,,40,40,1500,2000,,∞,,,,,,,,,1.4,1,1,1,0.064,937,,,,,3.2,3.8,2.25,,,,,0.7,0.9,0.4,0.75,0.9,0.3,2,0.8,0.75,0.4,0,0.25,50,4,10,3.5,8,3,6,-40,60,70,-70,1700
,Sniper Rifles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sniper Rifles have high penetration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The L96A1 has increased upper arm multipliers of 1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragunov,0.95,0.4,80,40,10,,70,70,4000,5000,∞,,,,4000,5000,∞,,,,2,2,1.5,1,0.256,234,,,,,2.95,3.75,2.1,,,,,0.85,1.15,0.25,0.75,1.7,0.3,40,3,1,1,0,0.4,15,10,15,9.5,14,9,13,10,65,50,-55,500
WA2000,0.95,0.4,48,24,6,,70,70,4000,5000,∞,,,,4000,5000,∞,,,,2,2,1.5,1,0.256,234,,,,,3.2,3.85,2.2,,,,,1,1.2,0.25,0.85,1.7,0.3,40,3,1,1,0,0.4,20,10,15,9.5,14,9,13,10,65,50,-55,825
L96A1,0.95,0.4,40,20,5,,70,70,4000,5000,∞,,,,4000,5000,∞,,,,2,2,1.5,1.5,1.2,50,,,,,3.3,3.5,2.45,,,,,1,1.3,0.25,0.85,1.5,0.3,60,3,1,1,0,0.4,15,10,15,9.5,14,9,13,80,100,-50,-55,500
PSG1,0.95,0.4,40,20,5,,70,70,4000,5000,∞,,,,4000,5000,∞,,,,2,2,1.5,1.5,0.256,234,,,,,3.2,3.5,2,,,,,0.85,1.15,0.25,0.75,1.3,0.3,40,3,1,1,0,0.4,15,10,15,9.5,14,9,13,80,95,-80,-95,1000
,Shotguns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shotguns have low penetration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olympia,1,0.4,40,20,2,8,40,10,400,600,,440,500,533,,,,,,,1,1,1,1,0.283,212,,,,,3.3,3.9,2.15,,,,,0.55,0.75,0.15,0.55,1.05,0.3,2,0.8,0.8,0.4,5.5,0.2,50,5,8,5,7,5,6,85,95,45,-45,1000
Stakeout,1,0.8,32,16,4,8,40,10,300,650,,370,475,533,,,,,,,1,1,1,1,0.938,63,0.838,71,1,0.75,0.567,,0.3,0.767,,,,0.7,0.8,0.25,0.5,1.6,0.3,15,5,0.8,0.4,3,0.2,55,4,7,4,6,4,5,95,100,-75,-85,800
SPAS-12,1,0.4,64,32,8,8,30,10,300,600,,,375,450,300,600,,,375,450,1,1,1,1,0.192,312,,,1.5,1.25,0.567,,0.25,1,,,,0.75,0.75,0.25,0.5,1.15,0.3,2,0.8,0.8,0.4,5.5,0.2,50,5,8,5,7,5,6,95,100,-75,-85,1200
HS-10,1,0.4,32,16,4,8,30,10,300,600,,,375,450,,,,,,,1,1,1,1,0.176,340,,,1.35,1,0.65,,0.25,1,,,,0.55,0.75,0.25,0.5,1.3,0.3,2,0.8,0.8,0.4,4.25,0.2,50,5,8,5,7,5,6,95,100,75,-75,1200
HS-10 DW,1,,64,32,4,8,30,10,200,500,,,275,350,,,,,,,1,1,1,1,0.176,340,,,,,3,3.4,1,,,,,0.65,0.85,0.15,0.55,0.9,0.3,,,,,,,,12,15,12,15,12,15,95,100,75,-75,1200
,Handguns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Handguns have low penetration, except the Python without Dual Wield, which has medium penetration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Switching to a Handgun without Dual Wield or to the CZ75 with any attachment uses quick drop and quick raise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASP,1,0.8,56,28,7,,40,20,350,900,,515,762,∞,,,,,,,1.4,1,1,1,0.064,937,,,,,1.25,1.4,0.9,,,,,0.25,,0.25,0.25,0.9,0.3,28,1,0.8,0.6,0,0.15,65,3,6,2.5,5,2,4,25,45,35,-35,1100
ASP DW,1,,112,56,7,,40,20,350,900,,515,762,∞,,,,,,,1.4,1,1,1,0.064,937,,,,,1.8,2.1,1,,,,,0.25,0.25,0.25,0.25,1,0.25,,,,,,,,4,7,3.5,6,3,5,25,45,35,-35,1100
M1911,1,0.8,56,28,7,,40,20,350,900,,515,762,∞,250,500,,325,437,∞,1.4,1,1,1,0.096,625,,,,,1.63,1.8,1.1,,,,,0.45,,0.25,0.25,1.1,0.3,28,1,0.8,0.6,0,0.1,65,3,6,2.5,5,2,4,25,45,35,-35,1100
M1911 DW,1,,112,56,7,,40,20,350,900,,515,762,∞,,,,,,,1.4,1,1,1,0.064,937,,,,,1.9,2.4,1.3,,,,,0.3,0.3,0.3,0.3,1.4,0.2,,,,,,,,4,7,3.5,6,3,5,25,45,35,-35,1100
Makarov,1,0.8,64,32,8,,40,20,350,900,,515,762,∞,250,500,,325,437,∞,1.4,1,1,1,0.096,625,,,,,1.625,1.917,1.15,,,,,0.45,,0.25,0.25,1.05,0.3,28,1,0.8,0.6,0,0.15,65,3,6,2.5,5,2,4,25,45,35,-35,1100
Makarov DW,1,,128,64,8,,40,20,350,900,,515,762,∞,,,,,,,1.4,1,1,1,0.096,625,,,,,1.8,1.8,1,,,,,0.25,0.25,0.25,0.25,1,0.3,,,,,,,,3,7,3.5,6,3,5,25,45,35,-35,1100
Python,1,0.8,48,24,6,,50,30,350,1200,350,1030,∞,,350,1200,,860,∞,,1.4,1,1,1,0.096,625,,,1.6,1.6,0.65,,0.65,0.95,2.6,2.6,1.8,0.3,,0.25,0.25,2,0.3,2,1,0.8,0.6,0,0.15,65,2,4,1.5,3,1,2,60,80,-40,-50,1500
Python DW,1,,96,48,6,,50,30,350,1200,350,1030,∞,,,,,,,,1.4,1,1,1,0.096,625,,,,,2.1,2.7,1.3,,,,,0.35,0.45,0.35,0.45,1.2,0.3,,,,,,,,3,5,2.5,4,2,3,60,80,-40,-50,1500
CZ75,1,0.8,96,48,12,,40,20,450,1000,,615,862,∞,300,500,,360,450,∞,1.4,1,1,1,0.096,625,,,,,1.63,2.013,1.05,,,,,0.45,,0.25,0.25,0.9,0.3,28,1,0.8,0.6,0,0.15,65,3,6,2.5,5,2,4,25,45,35,-35,1100
CZ75 DW,1,,192,96,12,,40,20,450,1000,,615,862,∞,,,,,,,1.4,1,1,1,0.096,625,,,,,1.9,2.2,1.4,,,,,0.3,,0.3,0.3,1,0.45,,,,,,,,4,7,3.5,6,3,5,35,55,45,-45,1100
CZ75 Full-Auto,1,0.8,96,48,12,,30,20,300,500,,220,400,∞,,,,,,,1.4,1,1,1,0.112,535,,,,,1.63,2.013,1.05,,,,,0.45,,0.25,0.25,0.9,0.3,2,0.9,0.75,0.4,0,0.15,65,3,6,2.5,5,2,4,25,65,70,-70,1500
,Launchers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Launchers have an explosion radius instead of a range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M72 LAW,0.8,0.4,1,1,1,,160,70,225,150,225,,,,,,,,,,Direct Impact: 1000,,,,4.06,14,,,,,3,,1.7,,,,,1.1,1.1,0.25,0.75,1.4,0.3,25,1,0.5,0.15,1.7,0.5,55,5,6,3.5,6,2,6,20,95,30,-10,2500
RPG-7,0.8,0.4,2,2,1,,160,70,225,150,225,,,,,,,,,,Direct Impact: 150,,,,3.612,16,,,,,3.292,,1.5,,,,,0.467,0.73,0.25,0.75,0.73,0.3,25,1,0.5,0.15,1.7,0.5,55,5,6,3.5,6,2,6,20,95,30,-10,2500
Strela-3,0.8,0.4,2,2,1,,175,25,400,200,400,,,,,,,,,,Direct Impact: 1000,,,,4.056,14,,,,,3,,1.8,,,,,0.66,1.1,0.25,0.75,1.4,0.3,,,,,1.7,0.5,55,5,6,3.5,6,2,6,20,95,30,-10,2500
China Lake,0.8,0.4,2,2,2,,155,25,300,126,242,279,300,,,,,,,,Direct Impact: 135,,,,3.05,19,,,2,1.3,1,,0.45,1.1,,,,1,1.3,0.25,0.65,1.5,0.6,25,1,0.5,0.15,,0.5,80,,,,,,,20,95,30,-10,2500
,Specials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Switching to the Ballistic Knife uses quick drop and quick raise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballistic Knife,1,,1,2,1,,300,300,,,,,,,,,,,,,Direct Impact: 250,,,,2.2,27,,,,,1.5,,0.4,,,,,0.35,,0.25,0.25,1,0.3,,,,,,,,0,0,0,0,0,0,60,80,-40,-50,1500
Crossbow,1,0.4,4,2,1,,200,75,160,128,160,,,,,,,,,,Direct Impact: 50,,,,3.07,19,,,,,2.75,,2.45,,,,,0.75,0.9,0.3,0.8,0.9,0.3,2,0.8,0.8,0.6,0,0.25,55,2,4,1.5,3,1,2,60,80,-40,-50,1500
,Killstreak Weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"The Death Machine has high penetration, a sprint duration scale of 0 and a spin-up time of 0.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death Machine,1,0.4,499,499,499,,80,80,1000,1500,∞,,,,,,,,,,1.4,1,1,1,0.05,1200,,,,,,,,,,,,0.75,1.55,0.3,1.1,1.55,0.3,,,,,0,0,65,0,0,0,0,0,0,-40,40,40,-40,1500
Grim Reaper,0.8,0.4,12,12,4,,150,150,256,256,,,,,,,,,,,Direct Impact: 500,,,,0.48,125,,,,,6.85,,4.25,,,,,1.3,1.8,0.5,0.75,1.5,0.4,25,1,0.5,0.15,1.7,0.5,55,5,6,3.5,6,2,6,20,95,30,-10,2500
Valkyrie Rockets,0.8,0.4,2,2,1,,400,100,300,300,,,,,,,,,,,Direct Impact: 400,,,,4.056,14,,,,,3,,1.8,,,,,0.66,1.1,0.25,0.75,1.4,0.3,,,,,1.7,0.5,55,5,6,3.5,6,2,6,20,95,30,-10,2500
